image_id,source,prompt,evaluation_seed
000000285352,coco-30k,a very small bathroom with a dirty toilet and scrub brush near by,56006
000000308362,coco-30k,A long bus driving on a city street past a building.,10662
000000494179,coco-30k,A single engine plane in the air right above a grassy field.,70595
000000393971,coco-30k,a picture of a girl with a cat on a laptop screen,77826
000000289076,coco-30k,Skateboarder wearing all black going up a wooden ramp on his board. ,80121
000000003786,coco-30k,Woman with bookin sat on sidewalk from the top view,95997
000000100234,coco-30k,a blue boat in the water and a factory and a dock,8063
000000009857,coco-30k,The lamp is on next to a bed with a quilt. ,81286
000000149329,coco-30k,A train on a track on a sunny day.,79608
000000160421,coco-30k,"A bowl of food with meat in a sauce, broccoli and cucumbers. ",26549
000000513699,coco-30k,A group of people that are at the beach.,29211
000000479832,coco-30k,A train covered in lots of graffiti on train tracks.,624
000000444493,coco-30k,People at a bus stop waiting on a bus.,4347
000000231768,coco-30k,many cars parked in a lot around several stores,96319
000000110951,coco-30k,A remote control sitting on a dash of a car.,32086
000000382729,coco-30k,A man standing on a blue tennis court holding a racquet.,93588
000000313162,coco-30k,A pizza is shown on a plate on a table. ,70334
000000016497,coco-30k,A man posing for a picture while holding a skateboard.,62412
000000498460,coco-30k,And animal stands on a table while a bear rides a bicycle.,41284
000000350694,coco-30k,"The surrounding of an outside town in the image.
",74301
000000295359,coco-30k,A crow perched on an empty park bench.,20854
000000315073,coco-30k,A cat with it's mouth wide open laying next to an open blue bottle on a window sill.,34872
000000390685,coco-30k,A close up of a stop sign on a public street.,40595
000000453138,coco-30k,A bike parked next to a cluster of trees.,60532
000000300157,coco-30k,Pair of zebras standing in grassy field outdoors.,51960
000000359855,coco-30k,A broken suitcase is on the side of the road.,52666
000000228942,coco-30k,A white passenger train passing a parking lot at night.,6401
000000487338,coco-30k,A girl is holding a paper up over her face as a man is shown behind in a mirror talking on a phone.,15274
000000036528,coco-30k,The airplane is about ready to get take off from the runway. ,77566
000000173004,coco-30k,A half eaten slice of pizza is on a plate with a knife and fork.,67053
000000048034,coco-30k,A person skiing down the side of a snow covered field.,90442
000000276969,coco-30k,A forest filled with lots of brown horses grazing on green grass.,47069
000000117036,coco-30k,A zebra walks in his enclosure in a zoo.,48009
000000135410,coco-30k,A bike leaning up to a parking meter.,58376
000000181462,coco-30k,A dead cow corpse laying on top of a beach.,16962
000000297620,coco-30k,A large open room with a long white staircase.,22979
000000114941,coco-30k,train pulling up on the tracks next to a stationary double decker train,72393
000000374486,coco-30k,Two giraffes that are standing together in a field.,59105
000000141328,coco-30k,a large bowl full of pasta with many other foods,89738
000000018534,coco-30k,A farm with a herd of cattle grazing on it's green open fields.,78081
000000478474,coco-30k,A truck that is sitting in the street.,98725
000000154587,coco-30k,A motorcycle carrying a bicycle is parked in the gravel. ,55512
000000432605,coco-30k,A bathroom with an open door and a sink beneath a mirror.,33949
000000050006,coco-30k,Looking out over a bay with many tourist boats moored,91904
000000261388,coco-30k,a horse pulling a carriage down a street,84691
000000547790,coco-30k,A fighter jet flying through a cloudy blue sky.,969
000000096638,coco-30k,A man sitting in the snow riding a snowboard.,38379
000000308764,coco-30k,A woman is holding an perched owl above her head.,98459
000000161141,coco-30k,A red bicycle with a basket on front next to a train.,36123
000000491921,coco-30k,A couple of men standing on top of a field.,60449
000000155604,coco-30k,Pizza with toppings baking in oven with steel,81750
000000230247,coco-30k,A mirror that is on a tiled wall.,11085
000000161220,coco-30k,A couple of dogs fighting over a red frisbee.,89928
000000475108,coco-30k,Calico cat yawning and laying on a gray seat.,66696
000000341393,coco-30k,A golden retriever laying down on the side of a pool.,72715
000000395849,coco-30k,A row of United States Army military fighter jets.,81540
000000163755,coco-30k,a group of people skiing on a hill ,93918
000000226154,coco-30k,A green and white bus on street next to dirt area.,29604
000000213978,coco-30k,Someone taking a slefie with a large camera in a large mirror.,92511
000000311883,coco-30k,A train moving along a track during the day.,46353
000000080131,coco-30k,A group of people sitting around a table in the kitchen.,97458
000000393995,coco-30k,a small cat is sitting in the window of a house,81548
000000353968,coco-30k,"A girl on a couch with a laptop, and a cat beside her",68884
000000450607,coco-30k,A red double decker bus is driving down the street. ,85229
000000487295,coco-30k,a burger and a pickle sit on a plate,84192
000000421915,coco-30k,A couple cuddle together in the cab of a lovingly restored flat bed Ford,96838
000000030785,coco-30k,A plate filled with a bowl of vegetables and two slices of bread with a spread on them.,1747
000000560918,coco-30k,A little boy is picking up a skateboard outside.,2940
000000480210,coco-30k,two surfers are carrying two long surfboards at the beach,97374
000000183716,coco-30k,Two little girls are dressed in uniform preparing for the day,6085
000000546298,coco-30k,a big bird stands on top of a wooden log ,40805
000000260036,coco-30k,A man riding up the side of a skateboard ramp.,5433
000000243222,coco-30k,A man holding a tennis racquet near a tennis ball on a court.,77882
000000352478,coco-30k,A table full of green vegetables that are for sale,68011
000000221094,coco-30k,A man and woman are on a bicycle pulling luggage.,85691
000000341957,coco-30k,A teddy bear is on the pillow and a jacket is on the bed.,24720
000000245432,coco-30k,Multiple people waiting on a boarding dock to get on the train.,97456
000000059225,coco-30k,a young man on skis glances at a frozen parking meter dispenser,25591
000000075905,coco-30k,A group of people posing together at a party.,23489
000000508846,coco-30k,A cat hiding in a basket of some sort.,45328
000000042968,coco-30k,A plane is somewhat distant away from the green grass. ,52295
000000532043,coco-30k,The cow is standing by himself on the rocky ground. ,10756
000000064183,coco-30k,A person in the street carrying a cart and an umbrella.,3880
000000353981,coco-30k,large NASA plane parked near the landing stripe next to a smaller plane,82663
000000497014,coco-30k,The dog is playing catch with his master.,46375
000000490125,coco-30k,White birds are gathered around a water puddle.,71230
000000120860,coco-30k,The dog is standing on the boat staring at something.,98273
000000292901,coco-30k,A lady holding an umbrella is standing at the rail. ,42950
000000316464,coco-30k,A cow standing in a grassy fields surrounded by shrubs,92745
000000349804,coco-30k,Three airplanes on display behind a high fence.,93680
000000009077,coco-30k,A variety of fruit is displayed in a market.,96456
000000103585,coco-30k,A bathroom with two sinks sitting under mirrors.,89955
000000078488,coco-30k,A yellow fire hydrant in front of a bike leaning against four poles,4864
000000289620,coco-30k,Two men on a beach playing paddle ball.,97444
000000098872,coco-30k,"Front diagonal view from hips up of a woman holding a beer out at side, face to face with a man wearing sunglasses with his tongue out, both wearing neckties, by a wooden wall.",87285
000000174423,coco-30k,A bird sits perched on the edge of an umbrella. ,46744
000000405032,coco-30k,A large panda bear hanging off the side of a tree.,577
000000321887,coco-30k,White sheep standing in front of a colorful wall in a building. ,54830
000000544597,coco-30k,there is a bathroom that has a lot of things on the floor,41152
000000092998,coco-30k,The kitchen features a table in the middle of the room.,7823
000000210060,coco-30k,A woman on a bike with a baby seat holding a dog leash.,79364
000000482800,coco-30k,an image of three people playing Frisbee outside,52700
000000535151,coco-30k,a close up of two plates on food on a table,53341
000000556608,coco-30k,A birthday cake with English and Chinese characters.,10508
000000183104,coco-30k,an image of two giraffes in a crate,59998
000000474034,coco-30k,A woman riding a skateboard down a sidewalk in front of a building.,22821
000000352761,coco-30k,An old man smiling while sitting on a bench.,34805
000000447791,coco-30k,A large boat sitting in the middle of a body of water.,77931
000000502963,coco-30k,People walking next to a cafe in the rain,21142
000000035767,coco-30k,A large tree sitting next to two benches.,42993
000000556545,coco-30k,A skateboard resting against a wall with a photo sitting next to it. ,26877
000000188421,coco-30k,A toilet next to a sink inside of a bathroom.,68038
000000401539,coco-30k,A large herd of horses riding on either side of two men.,29616
000000281950,coco-30k,A lone toilet sits in a large bathroom.,69399
000000467031,coco-30k,A train on a track pulling into a station dock.,36047
000000537652,coco-30k,A bird that is standing on a concrete ledge over the water.,11462
000000220722,coco-30k,People are in the bed of a green truck with an umbrella.,13451
000000578713,coco-30k,A back ho that is next to a pile of dirt.,48178
000000561050,coco-30k,Two giraffe standing next to each other on a lush green field.,88833
000000361147,coco-30k,A tennis player shows controlled excitement while a crowd watches.,77395
000000242423,coco-30k,A green lizard is eating a brussel sprout.,28259
000000366330,coco-30k,A tall brick clock tower sitting under a blue cloudy sky.,83046
000000239456,coco-30k,A man holding a tennis racquet on a tennis court.,27115
000000014781,coco-30k,A news paper sitting on a floor next to a toilet.,9171
000000443197,coco-30k,A striped cat curled up above a comforter. ,20341
000000574145,coco-30k,A new and stylish bathroom with a walk in shower is shown.,43032
000000092332,coco-30k,A man holding and pointing to a jumbo remote control in clear package in a store aisle.,29784
000000470113,coco-30k,Add you own paint or woodstain to these unfinished cabinets.,68103
000000002592,coco-30k,Decorated coffee cup and knife sitting on a patterned surface.,86823
000000168583,coco-30k,Two people are talking in a mall area.,69739
000000345068,coco-30k,A hospital room filled with empty beds and medical equipment.,24890
000000573196,coco-30k,A plate with a slice of cake on top.,86086
000000373705,coco-30k,"A number of young people are enjoying themselves around a fountain, not far from a fire hydrant.",57298
000000120428,coco-30k,A girl with a drink sitting on the toilet.,71836
000000108425,coco-30k,A man standing on his front lawn throwing a Frisbee.,22060
000000419051,coco-30k,a cat is standing inside of a bathroom sink,7948
000000094021,coco-30k,A couple of black cats laying on top of a bed.,89773
000000123415,coco-30k,An elephant standing next to a smaller elephant.,89612
000000113282,coco-30k,People are in a large building with luggage.,28960
000000381204,coco-30k,A closeup of an apple in the foreground with three oranges in the background.,12944
000000423189,coco-30k,Sparse office with antique computer and dial telephone,60536
000000284715,coco-30k,A white and brown dog sitting on top of a bed.,36853
000000076087,coco-30k,there are many giraffes in a fenced in area,14398
000000329573,coco-30k,A airplane that is sitting on a runway terminal.,71014
000000154420,coco-30k,A clean bathroom with blue tiles on wall and counter.,9432
000000380892,coco-30k,A brown horse standing on a lush green field.,27291
000000519706,coco-30k,An old woman in a flowered dress is holding a plate of bananas.,26159
000000148282,coco-30k,A baby in a carriage on street next to market.,44917
000000159609,coco-30k,A woman with a tennis racket and a ball in front of her.,33165
000000113975,coco-30k,Dog jumps over a woman to catch a frisbee in a dog show.,37490
000000008665,coco-30k,One bird that looks like two different ones.,15994
000000249836,coco-30k,A time lapse photo of a man throwing a frisbee.,15397
000000026630,coco-30k,There is an unmade bed in a Victorian style room.,22797
000000055126,coco-30k,People and a dog riding a decorative boat on a waterway. ,40784
000000191047,coco-30k,Three men all walking in the middle of the road .,31405
000000022129,coco-30k,A bamboo bench with a backpack sitting on top of it.,47654
000000309434,coco-30k,Two planes fly next to each other with only the sky visible in the background.,63792
000000563641,coco-30k,There is a blue and yellow train stopped at a train stop,80145
000000395633,coco-30k,A red and black boat floating on top of water.,87852
000000196865,coco-30k,Two books are stacked on a small counter. ,54800
000000521440,coco-30k,A small child tries to ski but is holding onto a balancing pole.,93859
000000352235,coco-30k,Three men on beach with a white surfboard next to them.,18050
000000290231,coco-30k,A man riding a motor cycle down a race track.,49357
000000047112,coco-30k,A dining table has a large pizza and wine glasses.,13198
000000174123,coco-30k,A huge plate of yummy food with fork to eat. ,99741
000000432255,coco-30k,A person on a court with a tennis racket.,35605
000000032990,coco-30k,A kitchen sink sitting next to a toilet.,27235
000000114239,coco-30k,A woman holding up measuring cups and a cat watching on the counter.,27470
000000238377,coco-30k,A dog laying in some hay on the ground.,29853
000000261982,coco-30k,A man flying through the air while riding a skateboard.,99233
000000348701,coco-30k,A person doing skate tricks in an outdoor park,89422
000000473929,coco-30k,A herd of zebra standing next to each other on a grass covered field.,46449
000000149444,coco-30k,ALL THE DELICIOUS TREATS DISPLAYED IN THE DELI.,24246
000000258789,coco-30k,A field with a cat and chicken next to a fence.,36004
000000035395,coco-30k,"A long table set with a variety fruits, vegetables and baked goods.",1879
000000253969,coco-30k,A man and a woman standing next to each other.,49729
000000029852,coco-30k,A street sign on a tree lined Japanese street.,94806
000000263586,coco-30k,A young girl holding a tennis racket on the court.,93904
000000059202,coco-30k,A skateboarder is near the edge of a skateboard ledge.,20944
000000070294,coco-30k,a blue bus is coming down a road,97698
000000025005,coco-30k,A male competitive speed skier coming around a curve.,45765
000000037677,coco-30k,A woman sitting on a fence holding an open umbrella.,18959
000000208955,coco-30k,The pitcher throws the ball as the batter waits to swing while the catcher and umpire watch.,27299
000000497867,coco-30k,A hybrid diesel-electric commuter bus on the street in England,90590
000000559821,coco-30k,A man with a tie standing by some umbrellas.,8520
000000213687,coco-30k,Motorcycles driving down a wide city street nearing a white building.,61687
000000445298,coco-30k,A black and white cow standing on to of a lush green hillside.,55750
000000393836,coco-30k,An unmade bed and a turned on lamp.,76271
000000486026,coco-30k,A red and green plate holding a pink cake with frosting.,95698
000000435533,coco-30k,A bathroom toilet with yellow liquid inside and a dirty tub.,92225
000000111409,coco-30k,a man that is riding a bike on some concrete ,39793
000000484425,coco-30k,A pizza on a pan sitting in the oven.,11295
000000572861,coco-30k,A brown horse pulling a carriage down a street.,6896
000000117201,coco-30k,A group of skiers is headed towards the slope,7967
000000188346,coco-30k,A green fire truck sitting on top of an airport tarmac.,36721
000000488522,coco-30k,There is a knife cutting into a cake.,17453
000000060434,coco-30k,A pole with signs on it in the street out side.,31577
000000349485,coco-30k,Fresh fruits and vegetables sit for sale at a store.,41670
000000081251,coco-30k,A pizza topped with fresh tomatoes greens and cheese,19907
000000072514,coco-30k,A couple of cows tied to a fence in a city area.,21652
000000310553,coco-30k,A man riding on the back of a motorcycle with a woman.,13272
000000463037,coco-30k,A plane site on a grassy country runway.,96294
000000275751,coco-30k,A red and yellow high speed passenger train rolling along the track.,68761
000000019102,coco-30k,A couple of zebra standing next to each other.,43697
000000058133,coco-30k,A white bathroom mirror mounted to it's wall.,24643
000000139260,coco-30k,There is a banana split with whipped cream and a cherry.,20910
000000236904,coco-30k,A small white dog standing next to a red fire hydrant.,2535
000000083214,coco-30k,A truck is parked on the side of a busy road.,97854
000000468604,coco-30k,Large elephant rubbing itself up against a large tree. ,729
000000416145,coco-30k,A large brown bear wading through a  pool of water.,53413
000000321307,coco-30k,A green bus with a red top traveling down a street.,32941
000000442791,coco-30k,A small animal on a rock near some Frisbee.,3452
000000146411,coco-30k,A cat on the ground with a shoe.,27236
000000476770,coco-30k,A group of men playing a game of baseball on a field.,35063
000000163640,coco-30k,A man holding a piece of food by a string.,36557
000000113354,coco-30k,Three zebras munching on grass in their natural habitat.,99992
000000146865,coco-30k,A young man does a trick on a skateboard in a bowl while other children with bikes and scooters watch.,98407
000000187857,coco-30k,A man riding on the back of a motorcycle down a street.,63965
000000531796,coco-30k,Two buses that are sitting under a metal frame.,74545
000000016848,coco-30k,A filled plate of Chinese food with broccoli,43206
000000293153,coco-30k,The sightseeing boat streams along the river joined by a plane,61324
000000099053,coco-30k,"A bowl of noodles, meat and broccoli with a fork.",98867
000000004972,coco-30k,A BLACK AND WHITE PIC OF A MAN AND A HORSE ,45038
000000264032,coco-30k,Extra hands would be a help for this messy kitchen.,12774
000000132987,coco-30k,Two men who maybe spear fishing one is on a surf board.,65493
000000567432,coco-30k,A colorful plane flying over head and telephone wires,58339
000000508541,coco-30k,A motorcycle parked in front of building next to a umbrella covered table.,45773
000000381832,coco-30k,a street light hanging fron one of many wires connected to a power pole,70744
000000067534,coco-30k,Not really a good choice for this shirt and tie combination.,8071
000000554740,coco-30k,Two parking meters take credit cards and allow 2 hour parking,71199
000000506201,coco-30k,a couple of people on skis ride through the snow ,36352
000000518127,coco-30k,A huge shot of almost an entire football field during the game. ,39711
000000547886,coco-30k,Four people on horses walking on beach next to water.,21849
000000479596,coco-30k,a bunch of fruit sit on sale for the public ,34341
000000451856,coco-30k,Two girls and a guy showing off their frisbees.,69626
000000096711,coco-30k,A woman is sitting outdoors eating some food. ,61067
000000504103,coco-30k,a red open sign is by a curb,24425
000000167964,coco-30k,A lit street lamp at an intersection with a stop sign.,65936
000000515876,coco-30k,A fire hydrant on the side of the road.,91204
000000145520,coco-30k,"Cluttered white shelf with tootbrush, toothpaste and hairbrush.",95289
000000539738,coco-30k,A man holding a suitcase in one hand and hat in the other,79049
000000578292,coco-30k,A little boy is holding on to a stop sign.,56869
000000441430,coco-30k,Multiple bunches of bananas and plantains in an outdoor market.,61709
000000565485,coco-30k,A red bench and a person in a train station.,10005
000000074200,coco-30k,Surf boards adorn the windows of a dessert shop. ,2105
000000421681,coco-30k,A couple of suit cases sitting on top of a wooden block.,24545
000000122839,coco-30k,A statue of a person and a elephant on a street.,56429
000000328316,coco-30k,A no left turn sign hanging from the side of a wooden pole.,75313
000000228135,coco-30k,A man talking on a phone while holding ski poles.,67951
000000109178,coco-30k,Urinals are lined up on a wall in a bathroom.,33070
000000157098,coco-30k,Three giraffes standing up in a field eating leaves off of trees.,95800
000000199319,coco-30k,A group of palm trees with lots of bananas hanging from them.,67614
000000318570,coco-30k,a man that is skiing across some snow field,12354
000000408773,coco-30k,A man in a plaid shirt riding a skateboard.,68846
000000345419,coco-30k,A person riding a surfboard in the ocean,860
000000437269,coco-30k,Two people wearing ski equipment standing on top of a ski slope.,76669
000000532527,coco-30k,A table topped with vegetables and a pitcher.,77771
000000156846,coco-30k,A group of people sitting around a long table,10445
000000320670,coco-30k,A man is laying down on a bed with white sheets.,87227
000000005820,coco-30k,A park bench on the side of a lake.,51063
000000170072,coco-30k,There's a crossing sign that shows you can't make left turns,49688
000000087875,coco-30k,"Their is a hadron and their  in this lot,",2242
000000145651,coco-30k,A small white room with an unmade bed that has a backpack and a pair of glasses resting on it.,6771
000000469719,coco-30k,A skier in the midst of a jump,35621
000000495183,coco-30k,a girl is riding her bike down the street,84488
000000487299,coco-30k,A city street with traffic lights flooded by water.,33715
000000128515,coco-30k,Man being silly and jumping on the bed.,43529
000000290896,coco-30k,A yellow bus in parking lot with power lines above.,81845
000000239130,coco-30k,A man is riding a bike and talking on his cell phone. ,33784
000000030958,coco-30k,A woman laying on a bed holding a handbag. ,20573
000000278512,coco-30k,A small white plane sitting on top of an airport runway.,82505
000000415714,coco-30k,Two signs that are attached to a metal pole.,12809
000000089697,coco-30k,The man is sitting on the arm of a bench near a woman.,10356
000000232115,coco-30k,assorted desserts sitting on an outdoors table ,50978
000000574665,coco-30k,A cement truck sitting next to a wooden fence.,16884
000000401244,coco-30k,a person playing frisbee on a field in sport wear,23979
000000501153,coco-30k,A white truck with a black back filled with people.,96891
000000270544,coco-30k,an image of a group of people that are on a boat,422
000000093571,coco-30k,a couple of zebras are standing in a field,71934
000000309499,coco-30k,Two animals are walking along in a field.,74053
000000565153,coco-30k,a road sign showing to stop on the road near a forest,70670
000000292819,coco-30k,"a bicycle sits on its stand in the middle of a grassy, wooded area",82808
000000496268,coco-30k,A red stop sign above a no parking sign.,15251
000000542077,coco-30k,Two street lights on a corner pole in a town.,6857
000000477623,coco-30k,An orange train traveling along train tracks near a train yard.,30100
000000012666,coco-30k,The traffic in this city is busy this time of day. ,16408
000000521400,coco-30k,A female tennis player stands close to the net holding a racket. ,23407
000000291861,coco-30k,A Zebra standing in between a group of large rocks ,17919
000000376393,coco-30k,Two men riding a ski lift above a snow covered mountain.,87153
000000407067,coco-30k,A skateboarder is doing a trick on cement steps.,25931
000000471394,coco-30k,A  plate of food on a table with a tall glass,78797
000000359310,coco-30k,"A man on a motorcycle with a passenger car attached, parked on the side of the street.",88586
000000567801,coco-30k,The walk light is lit on this street.,28196
000000568863,coco-30k,A sign indicating Florida Avenue and another one stating the speed limit is 35.,98986
000000198447,coco-30k,A person standing in front of a train holding a pair of skis.,86696
000000140501,coco-30k,A military jet with a bomb on the runway.,17989
000000002142,coco-30k,A man sitting on top of a bench near some pigeons.,23640
000000233023,coco-30k,A man looking after an elephant in some exotic country.,57628
000000397483,coco-30k,a ship sitting out on the ocean not moving,5437
000000172935,coco-30k,A person flying through the air whale riding skis.,28687
000000315388,coco-30k,a pair of shoes and fabric strewn across a wooden floor.,41613
000000530975,coco-30k,a round outdoor courtyard table with a hotdog and a bag of chips on it.,67673
000000185475,coco-30k,A bus sitting beside a sign that says tow zone.,60977
000000181969,coco-30k,"An animal, curled into a ball, takes a nap.",24194
000000197219,coco-30k,a person sits at a table eating pizza,56336
000000401163,coco-30k,"The dog lies on the ground, while the two men talk to each other.",63888
000000555905,coco-30k,A bedroom that looks like a hotel room includes a television and bed.,24172
000000058146,coco-30k,a close up of many toy sheeps on a table ,55505
000000500446,coco-30k,A large clock mounted to the face of a buildings entrance.,67216
000000229020,coco-30k,a computer is on a desk next to a lamp,26093
000000267351,coco-30k,A large clock tower is yellow and white.,31818
000000076351,coco-30k,A small elephant rubbing up against a tree.,54129
000000306159,coco-30k,point of view shot of man using a small urinal in bathroom,9649
000000246530,coco-30k,Two giraffes looking in opposite directions and crossing necks.,98779
000000120776,coco-30k,A small group of people stand at the side of the sidewalk by a metal statue,82132
000000162523,coco-30k,A man who is performing a trick on a skateboard.,21856
000000261068,coco-30k,A lady doing something with animals in an enclosed area.,81693
000000461573,coco-30k,A metal park bench sitting next to a small road.,67734
000000459032,coco-30k,A man holding a tennis racquet standing on a tennis court.,20371
000000531286,coco-30k,A red bus in a city scene with traffic.,82356
000000452137,coco-30k,Plate of 3 hotdogs covered in onions next to a mug of chocolate milk,99512
000000277518,coco-30k,A boat sitting next to a beach in the ocean covered with birds.,70483
000000513891,coco-30k,Signs indicating a one way with paintings on it,8863
000000567197,coco-30k,an old black and white photo of cars parked near a building ,89495
000000047828,coco-30k,A blue lighted bridge over water at night.,56095
000000191304,coco-30k,"A dining table with a buffet table, book shelves and a wall clock.",78010
000000249599,coco-30k,A cat laying on the floor next to a glass.,4340
000000413349,coco-30k,A man that has a skateboard that is in the air.,98061
000000401028,coco-30k,A person that threw a frisbee in the air.,61818
000000387515,coco-30k,The blue and white bus is travelling down the street.,4321
000000446461,coco-30k,A man playing drums while making a creepy face.,4453
000000147576,coco-30k,A couple of boats and car on a street.,25665
000000057244,coco-30k,A rusted out train engine sitting next to a green forest.,4649
000000241868,coco-30k,An adult zebra and a child zebra walking through a lake. ,23400
000000576031,coco-30k,A woman on skis stands on a flat snowy surface.,30032
000000073039,coco-30k,a purse a pair of shoes and a horse behind a display glass,65020
000000552636,coco-30k,A group of people walking down a sidewalk near a bus.,63135
000000427133,coco-30k,A group of people behind a white picket fence watching a person in the grass with a dog and small group of sheep.,2412
000000033931,coco-30k,A close view of the round part of a tablespoon shows a wilted piece of lettuce resting on the spoon.  ,3279
000000028508,coco-30k,One of the three giraffe is eating from a tree. ,67905
000000442661,coco-30k,a giraffe stares out of a glass window ,16964
000000251627,coco-30k,A black and white dog looking at a frisbee on a grass lawn.,34258
000000411587,coco-30k,The man is in the water with a boat.,4341
000000175653,coco-30k,A person trying to get up after falling while skiing.,48474
000000407945,coco-30k,Someone picks up a slice of fresh pizza with one hand.,69675
000000500468,coco-30k,A large group of chickens stand together in a building. ,10635
000000225715,coco-30k,The room was clean with the bed neatly made. ,39222
000000526956,coco-30k,three cupcakes with small umbrellas near one another ,5295
000000087958,coco-30k,A train with several cars is going around a corner.,92794
000000365618,coco-30k,Roadway intersections in urban area near waterway with bridge.,77206
000000289855,coco-30k,The bird is perched alone on the bannister. ,1485
000000517967,coco-30k,A picture that has a lady with a laptop.,35957
000000288270,coco-30k,A group of people standing outside of a ski lodge.,91764
000000333677,coco-30k,A room with a bed and an adorable chihuahua sleeping on top of it,23925
000000555939,coco-30k,A small bathroom with a toilet and shower.,20824
000000401901,coco-30k,A pair of children kick a ball together.,22840
000000293757,coco-30k,A cat perched on top of a dresser.,50355
000000410168,coco-30k,A dog wearing a yellow hat with a smiley face on it.,86580
000000227048,coco-30k,A young man playing a game of tennis on a tennis court.,51829
000000374886,coco-30k,A United States air plane taking off .,27748
000000478380,coco-30k,A bus driver watching a herd of sheep blocking a road.,63315
000000522371,coco-30k,A couple of young people standing next to each other on the snow.,71654
000000306313,coco-30k,An oven in a kitchen with a stove on top in between counter tops.,28527
000000425848,coco-30k,A prepared dinner on a plate sits on a table.,18372
000000101013,coco-30k,A blue car driving down a street past parked cars.,51867
000000524186,coco-30k,A big commercial plane flying in cloudy skies.,93670
000000243091,coco-30k,a white plate filled with pasta and broccoli,54006
000000120046,coco-30k,Two zebras are sitting on the ground. ,49544
000000030967,coco-30k,two giraffes are walking around in their pen ,52123
000000008333,coco-30k,A white and red train traveling over a city.,60979
000000069340,coco-30k,A kitchen that has a sink and cabinets in it.,85330
000000378139,coco-30k,There is a water shuttle going down a canal.,17998
000000459634,coco-30k,People are riding on motorcycles on a scenic road.,70377
000000145227,coco-30k,a man that has a medal around his neck,99497
000000137211,coco-30k,Several large trucks parked outside among many tree's.,45844
000000234910,coco-30k,A shopping center with parking lot along a busy street.,51884
000000030925,coco-30k,A giraffe stands next to a tree and a lake.,32354
000000181666,coco-30k,a flock of goats and some men watching them,8898
000000345456,coco-30k,Passengers departing a train at a busy train station,53912
000000223545,coco-30k,The Queen Mary ship sitting in a harbor in Long Beach.,23586
